'14609','0','0','-1',NULL,NULL,NULL,'0','1','0','0','2','_Wjj97o_667100_Kr',NULL,'1','_87YttUy48vm7_ALKo_simFER_667100','0','1','26','1','0','1','-sj8a438gvkma8','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','1','-1',NULL,NULL,NULL,'0','1','0','0','2','Evpatorija92002',NULL,'1','GORODgerojEvpatorija_92002','0','1','26','1','0','1','-vj4dhn1t50gne','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','2',NULL,NULL,NULL,NULL,'0','1','0','0','2','simferopol669023',NULL,'1','GORODsimfFSOSorm669023','0','1','26','1','0','2','-eseonpuk8inj0','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','3','-1',NULL,NULL,NULL,'0','1','0','0','2','Simferopol667101',NULL,'1','gagarina_14_AUDIT_KANON_667101','0','1','26','1','0','2','-sjj98ta0vgmb0','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','4','',NULL,NULL,NULL,'0','1','0','0','2','_SiMFER_BaL_staNdaRT_667626_',NULL,'1','_OpushEEA_BaL_stanD_Rxnj7190sMm_','0','1','26','1','0','1','-f4h8rtu8438m4','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','5','-1',NULL,NULL,NULL,'0','14','0','0','2','simferopol669008',NULL,'1','GORODgerojSIMFEROPOL669008','0','1','26','1','0','1','-1sv2c6h9939u4','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','6','-1',NULL,NULL,NULL,'0','1','0','0','2','simferopol669003',NULL,'1','GORODgerojSIMFEROPOL669003','0','1','26','1','0','1','-1kbu6jajj59u4','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','7','',NULL,NULL,NULL,'0','18','0','0','2','simferopol669006',NULL,'1','GORODgerojSIMFEROPOL669006','0','1','26','1','0','1','-n39a6e2is3knf','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','8','-1',NULL,NULL,NULL,'0','1','0','0','2','_SimFEropol__669090',NULL,'1','GoRODgeROJ_siMFeROPOL_66_90_90_M','0','1','26','1','0','1','-6sc8nlujim3i3','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','9','-1',NULL,NULL,NULL,'0','1','0','0','2','669293',NULL,'1','RKNrknSIMFEROPOL669293','0','1','26','1','0','2','-hs33dedcd3pu8','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','10','',NULL,NULL,NULL,'0','1','0','0','2','simferopol669010',NULL,'1','GORODgerojSIMFEROPOL669010','0','1','26','1','0','1','-gcfsnq6lgngre','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','11','-1',NULL,NULL,NULL,'0','1','0','0','2','simferopol668858',NULL,'1','GORODgerojSIMFEROPOL668858','0','1','26','1','0','1','-fkhupe3l560na','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','12','-1',NULL,NULL,NULL,'0','7','0','0','2','_oeGFRtdw77068_',NULL,'1','_EdFRkleiju591kew4367kjhdfUUdf_','0','1','26','1','0','1','-lrsab2hqh7bfd','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','13','',NULL,NULL,NULL,'0','1','0','0','2','simferopol669018',NULL,'1','GORODgerojSIMFEROPOL669018','0','1','26','1','0','2','-2405s6p9bj925','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','14','-1',NULL,NULL,NULL,'0','1','0','0','2','simferopol669081',NULL,'1','GORODgerojSIMFEROPOL669081','0','1','26','1','0','1','-j4g28sils427b','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','15','-1',NULL,NULL,NULL,'0','1','0','0','2','simferopol669083',NULL,'1','GORODgerojSIMFEROPOL669083','0','1','26','1','0','1','-8cdcnm6k6isr1','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','16','-1',NULL,NULL,NULL,'0','1','0','0','2','simferopol669402',NULL,'1','GORODgerojSIMFEROPOL669402','0','1','26','1','0','1','-9kde7nakf7du5','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','17','-1',NULL,NULL,NULL,'0','1','0','0','2','evpatorija92001',NULL,'1','GORODgerojEVPATORIJA92001','0','1','26','1','0','1','-mr88mduhdnjjf','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','18','',NULL,NULL,NULL,'0','1','0','0','2','_KraSN_Brom77020_',NULL,'1','_UYT98wjhshj290FFsksjUSTjooOO5M_','0','1','26','1','0','1','-gk31dehsin0q2','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
'14609','0','19','-1',NULL,NULL,NULL,'0','1','0','0','2','Simferopol668000',NULL,'1','AO_NEFTEtrejding_668000_MmSIMFER','0','1','26','1','0','1','-rb884008t2664','5060','0',NULL,'0',NULL,'1',NULL,NULL,'0','0','0','','200','0','0','0','','0','0'
